date,AED,AMD,AUD,AZN,BRL,BYN,CAD,CHF,CNY,CZK,DKK,EGP,EUR,GBP,GEL,HKD,HUF,IDR,ILS,INR,IRR,JPY,KGS,KRW,KWD,MDL,MNT,MXN,MYR,NOK,OMR,PKR,PLN,QAR,RON,RUB,SAR,SEK,SGD,THB,TJS,TRY,UAH,USD,UZS,VND,XDR,ZAR
2021-05-08,116.260000,0.821000,330.960000,252.210000,79.760000,167.990000,348.650000,469.480000,65.960000,19.910000,69.180000,,514.350000,594.200000,124.490000,54.960000,1.435000,,,5.790000,0.010200,3.910000,5.040000,0.380200,1418.380000,24.100000,,21.130000,103.640000,51.230000,,,112.100000,,,5.720000,113.860000,50.500000,319.940000,13.670000,37.750000,51.360000,15.390000,426.990000,0.040700,,611.700000,29.940000
2021-05-12,116.320000,0.819000,335.200000,252.340000,81.780000,168.700000,353.070000,473.580000,66.520000,20.350000,69.910000,,519.710000,603.830000,125.280000,55.000000,1.450000,,,5.830000,0.010200,3.930000,5.040000,0.382100,1420.280000,24.140000,,21.500000,103.790000,51.850000,,,114.140000,,,5.780000,113.920000,51.390000,322.160000,13.740000,37.770000,51.480000,15.450000,427.220000,0.040700,,616.230000,30.610000
2021-05-13,116.030000,0.818000,332.560000,251.710000,81.600000,168.650000,352.620000,471.600000,66.170000,20.250000,69.550000,,517.080000,602.350000,124.970000,54.870000,1.445000,,,5.800000,0.010100,3.920000,5.030000,0.378600,1417.250000,24.170000,,21.320000,103.360000,51.590000,,,113.880000,,,5.740000,113.630000,51.160000,320.770000,13.650000,37.680000,51.200000,15.410000,426.140000,0.040400,,614.510000,30.420000
2021-05-14,116.410000,0.820000,329.300000,252.540000,80.610000,168.910000,352.420000,470.770000,66.240000,20.180000,69.380000,,515.840000,599.600000,125.490000,55.050000,1.445000,,,5.810000,0.010200,3.900000,5.050000,0.377400,1421.420000,24.250000,,21.220000,103.700000,50.950000,,,113.480000,,,5.750000,114.010000,50.680000,320.170000,13.620000,37.800000,50.490000,15.470000,427.550000,0.040500,,615.850000,30.270000
2021-05-15,116.730000,0.821000,331.610000,253.230000,80.770000,169.940000,353.170000,474.290000,66.610000,20.350000,69.820000,,519.120000,602.680000,125.980000,55.200000,1.459000,,,5.850000,0.010200,3.920000,5.060000,0.379800,1424.900000,24.230000,,21.590000,103.980000,51.760000,,,114.550000,,,5.790000,114.320000,51.210000,321.250000,13.670000,37.910000,50.740000,15.520000,428.710000,0.040700,,615.570000,30.350000
2021-05-18,116.370000,0.822000,331.630000,252.460000,81.060000,169.830000,353.030000,474.530000,66.380000,20.370000,69.870000,,519.470000,602.820000,126.450000,55.030000,1.477000,,,5.840000,0.010200,3.910000,5.050000,0.376100,1421.190000,24.190000,,21.490000,103.510000,51.730000,,,114.520000,,,5.780000,113.970000,51.210000,320.130000,13.600000,37.790000,51.150000,15.520000,427.410000,0.040600,,614.910000,30.230000
2021-05-19,116.000000,0.818000,332.230000,251.650000,80.800000,169.400000,354.100000,474.810000,66.350000,20.480000,70.010000,,520.460000,605.120000,126.050000,54.870000,1.485000,,,5.830000,0.010100,3.910000,5.050000,0.377500,1418.750000,24.070000,,21.600000,103.280000,51.920000,,,115.060000,,,5.780000,113.610000,51.330000,320.340000,13.540000,37.670000,51.110000,15.540000,426.050000,0.040400,,613.980000,30.450000
2021-05-20,116.410000,0.821000,331.040000,252.530000,81.270000,170.220000,353.750000,474.520000,66.400000,20.520000,70.210000,,521.980000,605.610000,127.240000,55.060000,1.487000,,,5.840000,0.010200,3.920000,5.070000,0.378400,1423.760000,24.200000,,21.480000,103.370000,51.640000,,,115.320000,,,5.800000,114.000000,51.370000,320.950000,13.590000,37.800000,50.860000,15.590000,427.540000,0.040500,,617.420000,30.440000
2021-05-21,116.860000,0.826000,332.290000,253.520000,80.840000,170.970000,353.870000,476.050000,66.670000,20.510000,70.360000,,522.990000,606.090000,128.510000,55.300000,1.494000,,,5.870000,0.010200,3.940000,5.110000,0.379000,1428.600000,24.300000,,21.580000,103.560000,51.450000,,,115.800000,,,5.830000,114.450000,51.380000,321.920000,13.680000,37.950000,51.140000,15.630000,429.210000,0.040600,,619.510000,30.460000
2021-05-22,116.770000,0.825000,333.010000,253.310000,81.190000,171.500000,355.810000,478.420000,66.690000,20.610000,70.510000,,524.280000,609.580000,131.550000,55.230000,1.501000,,,5.890000,0.010200,3.950000,5.110000,0.380800,1428.580000,24.350000,,21.570000,103.610000,51.640000,,,116.700000,,,5.840000,114.360000,51.810000,322.430000,13.670000,37.920000,51.290000,15.630000,428.860000,0.040500,,618.730000,30.820000
