date,AUD,BYN,CAD,CHF,CNY,EUR,GBP,JPY,KGS,NOK,RUB,TRY,USD,UZS,ZAR
2005-01-01,101.270000,0.060000,108.120000,114.890000,15.710000,177.280000,250.650000,1.268000,3.120000,21.520000,4.680000,,130.000000,0.120000,23.160000
2005-01-06,99.360000,0.060000,106.230000,111.230000,15.710000,172.590000,244.280000,1.245000,3.190000,20.790000,4.690000,94.440000,130.000000,0.120000,22.380000
2005-01-07,98.610000,0.060000,105.650000,110.560000,15.710000,171.460000,243.840000,1.240000,3.190000,20.730000,4.660000,92.790000,130.000000,0.120000,21.720000
2005-01-08,99.090000,0.060000,105.430000,110.930000,15.710000,171.630000,244.200000,1.244000,3.180000,20.810000,4.680000,93.940000,130.010000,0.120000,21.470000
2005-01-11,98.610000,0.060000,105.780000,110.100000,15.710000,170.220000,243.850000,1.244000,3.180000,20.700000,4.690000,93.390000,130.040000,0.120000,21.570000
2005-01-12,98.950000,0.060000,106.430000,110.360000,15.710000,170.600000,243.920000,1.248000,3.180000,20.780000,4.650000,94.240000,130.010000,0.120000,21.870000
2005-01-13,98.260000,0.060000,106.540000,109.920000,15.710000,170.200000,243.240000,1.258000,3.180000,20.770000,4.660000,94.240000,130.010000,0.120000,21.550000
2005-01-14,99.490000,0.060000,108.150000,111.130000,15.710000,171.980000,245.620000,1.270000,3.180000,20.990000,4.660000,95.760000,130.000000,0.120000,21.760000
2005-01-15,98.380000,0.060000,107.040000,109.600000,15.710000,169.810000,242.450000,1.263000,3.180000,20.790000,4.650000,95.520000,130.000000,0.120000,21.450000
2005-01-18,98.700000,0.060000,107.050000,110.360000,15.710000,170.510000,243.340000,1.277000,3.180000,20.800000,4.640000,97.370000,129.990000,0.120000,21.520000
2005-01-19,97.690000,0.060000,106.230000,109.530000,15.700000,169.310000,241.390000,1.268000,3.180000,20.730000,4.620000,96.860000,129.980000,0.120000,21.380000
2005-01-20,99.220000,0.060000,106.790000,110.360000,15.710000,170.260000,243.920000,1.269000,3.180000,20.910000,4.620000,97.310000,130.000000,0.120000,21.610000
2005-01-21,98.700000,0.060000,105.650000,109.650000,15.710000,168.910000,242.620000,1.261000,3.180000,20.700000,4.620000,97.020000,130.010000,0.120000,21.410000
2005-01-22,99.350000,0.060000,105.950000,109.320000,15.720000,168.960000,243.520000,1.255000,3.130000,20.610000,4.630000,96.710000,130.070000,0.120000,21.540000
2005-01-25,100.290000,0.060000,106.790000,110.210000,15.720000,170.290000,245.030000,1.265000,3.130000,20.790000,4.650000,97.220000,130.130000,0.120000,21.910000
2005-01-26,100.580000,0.060000,106.610000,110.330000,15.740000,170.290000,244.840000,1.263000,3.140000,20.780000,4.660000,97.860000,130.250000,0.120000,21.980000
2005-01-27,100.220000,0.060000,105.790000,109.430000,15.770000,169.470000,243.870000,1.261000,3.140000,20.580000,4.650000,97.980000,130.510000,0.120000,21.910000
2005-01-28,101.300000,0.060000,105.940000,110.380000,15.780000,170.760000,245.810000,1.266000,3.150000,20.690000,4.660000,98.820000,130.640000,0.120000,22.100000
