date,code,quant,value
2005-01-01,AUD,1,101.27
2005-01-01,BYN,1,0.06
2005-01-01,CAD,1,108.12
2005-01-01,CHF,1,114.89
2005-01-01,CNY,1,15.71
2005-01-01,EUR,1,177.28
2005-01-01,GBP,1,250.65
2005-01-01,JPY,10,12.68
2005-01-01,KGS,1,3.12
2005-01-01,NOK,1,21.52
2005-01-01,RUB,1,4.68
2005-01-01,USD,1,130.0
2005-01-01,UZS,1,0.12
2005-01-01,ZAR,1,23.16
2005-01-02,AUD,1,101.27
2005-01-02,BYN,1,0.06
2005-01-02,CAD,1,108.12
2005-01-02,CHF,1,114.89
2005-01-02,CNY,1,15.71
2005-01-02,EUR,1,177.28
2005-01-02,GBP,1,250.65
2005-01-02,JPY,10,12.68
2005-01-02,KGS,1,3.12
2005-01-02,NOK,1,21.52
2005-01-02,RUB,1,4.68
2005-01-02,USD,1,130.0
2005-01-02,UZS,1,0.12
2005-01-02,ZAR,1,23.16
2005-01-03,AUD,1,101.27
2005-01-03,BYN,1,0.06
2005-01-03,CAD,1,108.12
2005-01-03,CHF,1,114.89
2005-01-03,CNY,1,15.71
2005-01-03,EUR,1,177.28
2005-01-03,GBP,1,250.65
2005-01-03,JPY,10,12.68
2005-01-03,KGS,1,3.12
2005-01-03,NOK,1,21.52
2005-01-03,RUB,1,4.68
2005-01-03,USD,1,130.0
2005-01-03,UZS,1,0.12
2005-01-03,ZAR,1,23.16
2005-01-04,AUD,1,101.27
2005-01-04,BYN,1,0.06
2005-01-04,CAD,1,108.12
2005-01-04,CHF,1,114.89
2005-01-04,CNY,1,15.71
2005-01-04,EUR,1,177.28
2005-01-04,GBP,1,250.65
2005-01-04,JPY,10,12.68
2005-01-04,KGS,1,3.12
2005-01-04,NOK,1,21.52
2005-01-04,RUB,1,4.68
2005-01-04,USD,1,130.0
2005-01-04,UZS,1,0.12
2005-01-04,ZAR,1,23.16
2005-01-05,AUD,1,101.27
2005-01-05,BYN,1,0.06
2005-01-05,CAD,1,108.12
2005-01-05,CHF,1,114.89
2005-01-05,CNY,1,15.71
2005-01-05,EUR,1,177.28
2005-01-05,GBP,1,250.65
2005-01-05,JPY,10,12.68
2005-01-05,KGS,1,3.12
2005-01-05,NOK,1,21.52
2005-01-05,RUB,1,4.68
2005-01-05,USD,1,130.0
2005-01-05,UZS,1,0.12
2005-01-05,ZAR,1,23.16
2005-01-06,AUD,1,99.36
2005-01-06,BYN,1,0.06
2005-01-06,CAD,1,106.23
2005-01-06,CHF,1,111.23
2005-01-06,CNY,1,15.71
2005-01-06,EUR,1,172.59
2005-01-06,GBP,1,244.28
2005-01-06,JPY,10,12.45
2005-01-06,KGS,1,3.19
2005-01-06,NOK,1,20.79
2005-01-06,RUB,1,4.69
2005-01-06,TRY,1,94.44
2005-01-06,USD,1,130.0
2005-01-06,UZS,1,0.12
2005-01-06,ZAR,1,22.38
2005-01-07,AUD,1,98.61
2005-01-07,BYN,1,0.06
2005-01-07,CAD,1,105.65
2005-01-07,CHF,1,110.56
2005-01-07,CNY,1,15.71
2005-01-07,EUR,1,171.46
2005-01-07,GBP,1,243.84
2005-01-07,JPY,10,12.4
2005-01-07,KGS,1,3.19
2005-01-07,NOK,1,20.73
2005-01-07,RUB,1,4.66
2005-01-07,TRY,1,92.79
2005-01-07,USD,1,130.0
2005-01-07,UZS,1,0.12
2005-01-07,ZAR,1,21.72
2005-01-08,AUD,1,99.09
2005-01-08,BYN,1,0.06
2005-01-08,CAD,1,105.43
2005-01-08,CHF,1,110.93
2005-01-08,CNY,1,15.71
2005-01-08,EUR,1,171.63
2005-01-08,GBP,1,244.2
2005-01-08,JPY,10,12.44
2005-01-08,KGS,1,3.18
2005-01-08,NOK,1,20.81
2005-01-08,RUB,1,4.68
2005-01-08,TRY,1,93.94
2005-01-08,USD,1,130.01
2005-01-08,UZS,1,0.12
2005-01-08,ZAR,1,21.47
2005-01-09,AUD,1,99.09
2005-01-09,BYN,1,0.06
2005-01-09,CAD,1,105.43
2005-01-09,CHF,1,110.93
2005-01-09,CNY,1,15.71
2005-01-09,EUR,1,171.63
2005-01-09,GBP,1,244.2
2005-01-09,JPY,10,12.44
2005-01-09,KGS,1,3.18
2005-01-09,NOK,1,20.81
2005-01-09,RUB,1,4.68
2005-01-09,TRY,1,93.94
2005-01-09,USD,1,130.01
2005-01-09,UZS,1,0.12
2005-01-09,ZAR,1,21.47
2005-01-10,AUD,1,99.09
2005-01-10,BYN,1,0.06
2005-01-10,CAD,1,105.43
2005-01-10,CHF,1,110.93
2005-01-10,CNY,1,15.71
2005-01-10,EUR,1,171.63
2005-01-10,GBP,1,244.2
2005-01-10,JPY,10,12.44
2005-01-10,KGS,1,3.18
2005-01-10,NOK,1,20.81
2005-01-10,RUB,1,4.68
2005-01-10,TRY,1,93.94
2005-01-10,USD,1,130.01
2005-01-10,UZS,1,0.12
2005-01-10,ZAR,1,21.47
2005-01-11,AUD,1,98.61
2005-01-11,BYN,1,0.06
2005-01-11,CAD,1,105.78
2005-01-11,CHF,1,110.1
2005-01-11,CNY,1,15.71
2005-01-11,EUR,1,170.22
2005-01-11,GBP,1,243.85
2005-01-11,JPY,10,12.44
2005-01-11,KGS,1,3.18
2005-01-11,NOK,1,20.7
2005-01-11,RUB,1,4.69
2005-01-11,TRY,1,93.39
2005-01-11,USD,1,130.04
2005-01-11,UZS,1,0.12
2005-01-11,ZAR,1,21.57
2005-01-12,AUD,1,98.95
2005-01-12,BYN,1,0.06
2005-01-12,CAD,1,106.43
2005-01-12,CHF,1,110.36
2005-01-12,CNY,1,15.71
2005-01-12,EUR,1,170.6
2005-01-12,GBP,1,243.92
2005-01-12,JPY,10,12.48
2005-01-12,KGS,1,3.18
2005-01-12,NOK,1,20.78
2005-01-12,RUB,1,4.65
2005-01-12,TRY,1,94.24
2005-01-12,USD,1,130.01
2005-01-12,UZS,1,0.12
2005-01-12,ZAR,1,21.87
2005-01-13,AUD,1,98.26
2005-01-13,BYN,1,0.06
2005-01-13,CAD,1,106.54
2005-01-13,CHF,1,109.92
2005-01-13,CNY,1,15.71
2005-01-13,EUR,1,170.2
2005-01-13,GBP,1,243.24
2005-01-13,JPY,10,12.58
2005-01-13,KGS,1,3.18
2005-01-13,NOK,1,20.77
2005-01-13,RUB,1,4.66
2005-01-13,TRY,1,94.24
2005-01-13,USD,1,130.01
2005-01-13,UZS,1,0.12
2005-01-13,ZAR,1,21.55
2005-01-14,AUD,1,99.49
2005-01-14,BYN,1,0.06
2005-01-14,CAD,1,108.15
2005-01-14,CHF,1,111.13
2005-01-14,CNY,1,15.71
2005-01-14,EUR,1,171.98
2005-01-14,GBP,1,245.62
2005-01-14,JPY,10,12.7
2005-01-14,KGS,1,3.18
2005-01-14,NOK,1,20.99
2005-01-14,RUB,1,4.66
2005-01-14,TRY,1,95.76
2005-01-14,USD,1,130.0
2005-01-14,UZS,1,0.12
2005-01-14,ZAR,1,21.76
2005-01-15,AUD,1,98.38
2005-01-15,BYN,1,0.06
2005-01-15,CAD,1,107.04
2005-01-15,CHF,1,109.6
2005-01-15,CNY,1,15.71
2005-01-15,EUR,1,169.81
2005-01-15,GBP,1,242.45
2005-01-15,JPY,10,12.63
2005-01-15,KGS,1,3.18
2005-01-15,NOK,1,20.79
2005-01-15,RUB,1,4.65
2005-01-15,TRY,1,95.52
2005-01-15,USD,1,130.0
2005-01-15,UZS,1,0.12
2005-01-15,ZAR,1,21.45
2005-01-16,AUD,1,98.38
2005-01-16,BYN,1,0.06
2005-01-16,CAD,1,107.04
2005-01-16,CHF,1,109.6
2005-01-16,CNY,1,15.71
2005-01-16,EUR,1,169.81
2005-01-16,GBP,1,242.45
2005-01-16,JPY,10,12.63
2005-01-16,KGS,1,3.18
2005-01-16,NOK,1,20.79
2005-01-16,RUB,1,4.65
2005-01-16,TRY,1,95.52
2005-01-16,USD,1,130.0
2005-01-16,UZS,1,0.12
2005-01-16,ZAR,1,21.45
2005-01-17,AUD,1,98.38
2005-01-17,BYN,1,0.06
2005-01-17,CAD,1,107.04
2005-01-17,CHF,1,109.6
2005-01-17,CNY,1,15.71
2005-01-17,EUR,1,169.81
2005-01-17,GBP,1,242.45
2005-01-17,JPY,10,12.63
2005-01-17,KGS,1,3.18
2005-01-17,NOK,1,20.79
2005-01-17,RUB,1,4.65
2005-01-17,TRY,1,95.52
2005-01-17,USD,1,130.0
2005-01-17,UZS,1,0.12
2005-01-17,ZAR,1,21.45
2005-01-18,AUD,1,98.7
2005-01-18,BYN,1,0.06
2005-01-18,CAD,1,107.05
2005-01-18,CHF,1,110.36
2005-01-18,CNY,1,15.71
2005-01-18,EUR,1,170.51
2005-01-18,GBP,1,243.34
2005-01-18,JPY,10,12.77
2005-01-18,KGS,1,3.18
2005-01-18,NOK,1,20.8
2005-01-18,RUB,1,4.64
2005-01-18,TRY,1,97.37
2005-01-18,USD,1,129.99
2005-01-18,UZS,1,0.12
2005-01-18,ZAR,1,21.52
2005-01-19,AUD,1,97.69
2005-01-19,BYN,1,0.06
2005-01-19,CAD,1,106.23
2005-01-19,CHF,1,109.53
2005-01-19,CNY,1,15.7
2005-01-19,EUR,1,169.31
2005-01-19,GBP,1,241.39
2005-01-19,JPY,10,12.68
2005-01-19,KGS,1,3.18
2005-01-19,NOK,1,20.73
2005-01-19,RUB,1,4.62
2005-01-19,TRY,1,96.86
2005-01-19,USD,1,129.98
2005-01-19,UZS,1,0.12
2005-01-19,ZAR,1,21.38
2005-01-20,AUD,1,99.22
2005-01-20,BYN,1,0.06
2005-01-20,CAD,1,106.79
2005-01-20,CHF,1,110.36
2005-01-20,CNY,1,15.71
2005-01-20,EUR,1,170.26
2005-01-20,GBP,1,243.92
2005-01-20,JPY,10,12.69
2005-01-20,KGS,1,3.18
2005-01-20,NOK,1,20.91
2005-01-20,RUB,1,4.62
2005-01-20,TRY,1,97.31
2005-01-20,USD,1,130.0
2005-01-20,UZS,1,0.12
2005-01-20,ZAR,1,21.61
2005-01-21,AUD,1,98.7
2005-01-21,BYN,1,0.06
2005-01-21,CAD,1,105.65
2005-01-21,CHF,1,109.65
2005-01-21,CNY,1,15.71
2005-01-21,EUR,1,168.91
2005-01-21,GBP,1,242.62
2005-01-21,JPY,10,12.61
2005-01-21,KGS,1,3.18
2005-01-21,NOK,1,20.7
2005-01-21,RUB,1,4.62
2005-01-21,TRY,1,97.02
2005-01-21,USD,1,130.01
2005-01-21,UZS,1,0.12
2005-01-21,ZAR,1,21.41
2005-01-22,AUD,1,99.35
2005-01-22,BYN,1,0.06
2005-01-22,CAD,1,105.95
2005-01-22,CHF,1,109.32
2005-01-22,CNY,1,15.72
2005-01-22,EUR,1,168.96
2005-01-22,GBP,1,243.52
2005-01-22,JPY,10,12.55
2005-01-22,KGS,1,3.13
2005-01-22,NOK,1,20.61
2005-01-22,RUB,1,4.63
2005-01-22,TRY,1,96.71
2005-01-22,USD,1,130.07
2005-01-22,UZS,1,0.12
2005-01-22,ZAR,1,21.54
2005-01-23,AUD,1,99.35
2005-01-23,BYN,1,0.06
2005-01-23,CAD,1,105.95
2005-01-23,CHF,1,109.32
2005-01-23,CNY,1,15.72
2005-01-23,EUR,1,168.96
2005-01-23,GBP,1,243.52
2005-01-23,JPY,10,12.55
2005-01-23,KGS,1,3.13
2005-01-23,NOK,1,20.61
2005-01-23,RUB,1,4.63
2005-01-23,TRY,1,96.71
2005-01-23,USD,1,130.07
2005-01-23,UZS,1,0.12
2005-01-23,ZAR,1,21.54
2005-01-24,AUD,1,99.35
2005-01-24,BYN,1,0.06
2005-01-24,CAD,1,105.95
2005-01-24,CHF,1,109.32
2005-01-24,CNY,1,15.72
2005-01-24,EUR,1,168.96
2005-01-24,GBP,1,243.52
2005-01-24,JPY,10,12.55
2005-01-24,KGS,1,3.13
2005-01-24,NOK,1,20.61
2005-01-24,RUB,1,4.63
2005-01-24,TRY,1,96.71
2005-01-24,USD,1,130.07
2005-01-24,UZS,1,0.12
2005-01-24,ZAR,1,21.54
2005-01-25,AUD,1,100.29
2005-01-25,BYN,1,0.06
2005-01-25,CAD,1,106.79
2005-01-25,CHF,1,110.21
2005-01-25,CNY,1,15.72
2005-01-25,EUR,1,170.29
2005-01-25,GBP,1,245.03
2005-01-25,JPY,10,12.65
2005-01-25,KGS,1,3.13
2005-01-25,NOK,1,20.79
2005-01-25,RUB,1,4.65
2005-01-25,TRY,1,97.22
2005-01-25,USD,1,130.13
2005-01-25,UZS,1,0.12
2005-01-25,ZAR,1,21.91
2005-01-26,AUD,1,100.58
2005-01-26,BYN,1,0.06
2005-01-26,CAD,1,106.61
2005-01-26,CHF,1,110.33
2005-01-26,CNY,1,15.74
2005-01-26,EUR,1,170.29
2005-01-26,GBP,1,244.84
2005-01-26,JPY,10,12.63
2005-01-26,KGS,1,3.14
2005-01-26,NOK,1,20.78
2005-01-26,RUB,1,4.66
2005-01-26,TRY,1,97.86
2005-01-26,USD,1,130.25
2005-01-26,UZS,1,0.12
2005-01-26,ZAR,1,21.98
2005-01-27,AUD,1,100.22
2005-01-27,BYN,1,0.06
2005-01-27,CAD,1,105.79
2005-01-27,CHF,1,109.43
2005-01-27,CNY,1,15.77
2005-01-27,EUR,1,169.47
2005-01-27,GBP,1,243.87
2005-01-27,JPY,10,12.61
2005-01-27,KGS,1,3.14
2005-01-27,NOK,1,20.58
2005-01-27,RUB,1,4.65
2005-01-27,TRY,1,97.98
2005-01-27,USD,1,130.51
2005-01-27,UZS,1,0.12
2005-01-27,ZAR,1,21.91
2005-01-28,AUD,1,101.3
2005-01-28,BYN,1,0.06
2005-01-28,CAD,1,105.94
2005-01-28,CHF,1,110.38
2005-01-28,CNY,1,15.78
2005-01-28,EUR,1,170.76
2005-01-28,GBP,1,245.81
2005-01-28,JPY,10,12.66
2005-01-28,KGS,1,3.15
2005-01-28,NOK,1,20.69
2005-01-28,RUB,1,4.66
2005-01-28,TRY,1,98.82
2005-01-28,USD,1,130.64
2005-01-28,UZS,1,0.12
2005-01-28,ZAR,1,22.1
2005-01-29,AUD,1,101.0
2005-01-29,BYN,1,0.06
2005-01-29,CAD,1,105.09
2005-01-29,CHF,1,109.92
2005-01-29,CNY,1,15.75
2005-01-29,EUR,1,169.9
2005-01-29,GBP,1,246.03
2005-01-29,JPY,10,12.63
2005-01-29,KGS,1,3.14
2005-01-29,NOK,1,20.6
2005-01-29,RUB,1,4.64
2005-01-29,TRY,1,97.73
2005-01-29,USD,1,130.37
2005-01-29,UZS,1,0.12
2005-01-29,ZAR,1,22.04
2005-01-30,AUD,1,101.0
2005-01-30,BYN,1,0.06
2005-01-30,CAD,1,105.09
2005-01-30,CHF,1,109.92
2005-01-30,CNY,1,15.75
2005-01-30,EUR,1,169.9
2005-01-30,GBP,1,246.03
2005-01-30,JPY,10,12.63
2005-01-30,KGS,1,3.14
2005-01-30,NOK,1,20.6
2005-01-30,RUB,1,4.64
2005-01-30,TRY,1,97.73
2005-01-30,USD,1,130.37
2005-01-30,UZS,1,0.12
2005-01-30,ZAR,1,22.04
2005-01-31,AUD,1,101.0
2005-01-31,BYN,1,0.06
2005-01-31,CAD,1,105.09
2005-01-31,CHF,1,109.92
2005-01-31,CNY,1,15.75
2005-01-31,EUR,1,169.9
2005-01-31,GBP,1,246.03
2005-01-31,JPY,10,12.63
2005-01-31,KGS,1,3.14
2005-01-31,NOK,1,20.6
2005-01-31,RUB,1,4.64
2005-01-31,TRY,1,97.73
2005-01-31,USD,1,130.37
2005-01-31,UZS,1,0.12
2005-01-31,ZAR,1,22.04
2005-02-01,AUD,1,100.52
2005-02-01,BYN,1,0.06
2005-02-01,CAD,1,104.78
2005-02-01,CHF,1,109.03
2005-02-01,CNY,1,15.71
2005-02-01,EUR,1,169.01
2005-02-01,GBP,1,244.77
2005-02-01,JPY,10,12.53
2005-02-01,KGS,1,3.18
2005-02-01,NOK,1,20.49
2005-02-01,RUB,1,4.62
2005-02-01,TRY,1,97.52
2005-02-01,USD,1,129.99
2005-02-01,UZS,1,0.12
2005-02-01,ZAR,1,21.76
2005-02-02,AUD,1,100.39
2005-02-02,BYN,1,0.06
2005-02-02,CAD,1,104.79
2005-02-02,CHF,1,109.23
2005-02-02,CNY,1,15.71
2005-02-02,EUR,1,169.47
2005-02-02,GBP,1,244.79
2005-02-02,JPY,10,12.52
2005-02-02,KGS,1,3.18
2005-02-02,NOK,1,20.44
2005-02-02,RUB,1,4.65
2005-02-02,TRY,1,97.53
2005-02-02,USD,1,130.04
2005-02-02,UZS,1,0.12
2005-02-02,ZAR,1,21.71
2005-02-03,AUD,1,100.77
2005-02-03,BYN,1,0.06
2005-02-03,CAD,1,105.53
2005-02-03,CHF,1,109.66
2005-02-03,CNY,1,15.72
2005-02-03,EUR,1,170.17
2005-02-03,GBP,1,245.32
2005-02-03,JPY,10,12.57
2005-02-03,KGS,1,3.19
2005-02-03,NOK,1,20.58
2005-02-03,RUB,1,4.65
2005-02-03,TRY,1,98.33
2005-02-03,USD,1,130.13
2005-02-03,UZS,1,0.12
2005-02-03,ZAR,1,21.7
2005-02-04,AUD,1,100.84
2005-02-04,BYN,1,0.06
2005-02-04,CAD,1,105.04
2005-02-04,CHF,1,108.85
2005-02-04,CNY,1,15.72
2005-02-04,EUR,1,169.33
2005-02-04,GBP,1,244.97
2005-02-04,JPY,10,12.5
2005-02-04,KGS,1,3.18
2005-02-04,NOK,1,20.51
2005-02-04,RUB,1,4.65
2005-02-04,TRY,1,98.4
2005-02-04,USD,1,130.08
2005-02-04,UZS,1,0.12
2005-02-04,ZAR,1,21.57
2005-02-05,AUD,1,99.9
2005-02-05,BYN,1,0.06
2005-02-05,CAD,1,104.7
2005-02-05,CHF,1,108.18
2005-02-05,CNY,1,15.7
2005-02-05,EUR,1,168.56
2005-02-05,GBP,1,244.45
2005-02-05,JPY,10,12.45
2005-02-05,KGS,1,3.18
2005-02-05,NOK,1,20.33
2005-02-05,RUB,1,4.65
2005-02-05,TRY,1,98.62
2005-02-05,USD,1,129.98
2005-02-05,UZS,1,0.12
2005-02-05,ZAR,1,21.17
2005-02-06,AUD,1,99.9
2005-02-06,BYN,1,0.06
2005-02-06,CAD,1,104.7
2005-02-06,CHF,1,108.18
2005-02-06,CNY,1,15.7
2005-02-06,EUR,1,168.56
2005-02-06,GBP,1,244.45
2005-02-06,JPY,10,12.45
2005-02-06,KGS,1,3.18
2005-02-06,NOK,1,20.33
2005-02-06,RUB,1,4.65
2005-02-06,TRY,1,98.62
2005-02-06,USD,1,129.98
2005-02-06,UZS,1,0.12
2005-02-06,ZAR,1,21.17
2005-02-07,AUD,1,99.9
2005-02-07,BYN,1,0.06
2005-02-07,CAD,1,104.7
2005-02-07,CHF,1,108.18
2005-02-07,CNY,1,15.7
2005-02-07,EUR,1,168.56
2005-02-07,GBP,1,244.45
2005-02-07,JPY,10,12.45
2005-02-07,KGS,1,3.18
2005-02-07,NOK,1,20.33
2005-02-07,RUB,1,4.65
2005-02-07,TRY,1,98.62
2005-02-07,USD,1,129.98
2005-02-07,UZS,1,0.12
2005-02-07,ZAR,1,21.17
2005-02-08,AUD,1,100.18
2005-02-08,BYN,1,0.06
2005-02-08,CAD,1,103.78
2005-02-08,CHF,1,107.06
2005-02-08,CNY,1,15.69
2005-02-08,EUR,1,166.69
2005-02-08,GBP,1,243.05
2005-02-08,JPY,10,12.44
2005-02-08,KGS,1,3.16
2005-02-08,NOK,1,20.08
2005-02-08,RUB,1,4.62
2005-02-08,TRY,1,98.73
2005-02-08,USD,1,129.83
2005-02-08,UZS,1,0.12
2005-02-08,ZAR,1,21.02
2005-02-09,AUD,1,99.62
2005-02-09,BYN,1,0.06
2005-02-09,CAD,1,103.52
2005-02-09,CHF,1,106.4
2005-02-09,CNY,1,15.7
2005-02-09,EUR,1,166.01
2005-02-09,GBP,1,241.18
2005-02-09,JPY,10,12.33
2005-02-09,KGS,1,3.16
2005-02-09,NOK,1,19.91
2005-02-09,RUB,1,4.61
2005-02-09,TRY,1,98.38
2005-02-09,USD,1,129.98
2005-02-09,UZS,1,0.12
2005-02-09,ZAR,1,20.9
2005-02-10,AUD,1,99.86
2005-02-10,BYN,1,0.06
2005-02-10,CAD,1,104.34
2005-02-10,CHF,1,106.79
2005-02-10,CNY,1,15.73
2005-02-10,EUR,1,166.21
2005-02-10,GBP,1,241.8
2005-02-10,JPY,10,12.32
