date,code,name_ru,quant,value,change
2021-05-07,AUD,АВСТРАЛИЙСКИЙ ДОЛЛАР,1,329.6,-1.36
2021-05-07,AZN,АЗЕРБАЙДЖАНСКИЙ МАНАТ,1,269.55,+17.34
2021-05-07,AMD,АРМЯНСКИЙ ДРАМ,10,12.66,+4.45
2021-05-07,BYN,БЕЛОРУССКИЙ РУБЛЬ,1,149.48,-18.51
2021-05-07,BRL,БРАЗИЛЬСКИЙ РЕАЛ,1,89.76,+10.00
2021-05-07,HUF,ВЕНГЕРСКИХ ФОРИНТОВ,10,14.59,+0.24
2021-05-07,VND,ВЬЕТНАМСКИЙ ДОНГ,1000,17.64,
2021-05-07,HKD,ГОНКОНГСКИЙ ДОЛЛАР,1,58.26,+3.30
2021-05-07,GEL,ГРУЗИНСКИЙ ЛАРИ,1,177.57,+53.08
2021-05-07,DKK,ДАТСКАЯ КРОНА,1,71.1,+1.92
2021-05-07,AED,ДИРХАМ ОАЭ,1,124.41,+8.15
2021-05-07,USD,ДОЛЛАР США,1,456.89,+29.90
2021-05-07,EUR,ЕВРО,1,531.36,+17.01
2021-05-07,EGP,ЕГИПЕТСКИЙ ФУНТ,1,8.93,
2021-05-07,ILS,ИЗРАИЛЬСКИЙ ШЕКЕЛЬ,1,151.22,
2021-05-07,INR,ИНДИЙСКАЯ РУПИЯ,1,4.8,-0.99
2021-05-07,IDR,ИНДОНЕЗИЙСКАЯ РУПИЯ,1000,26.11,
2021-05-07,IRR,ИРАНСКИЙ РИАЛ,10000,3.33,-6.87
2021-05-07,CAD,КАНАДСКИЙ ДОЛЛАР,1,331.54,-17.11
2021-05-07,QAR,КАТАРСКИЙ РИАЛ,1,125.35,
2021-05-07,CNY,КИТАЙСКИЙ ЮАНЬ,1,68.11,+2.15
2021-05-07,KWD,КУВЕЙТСКИЙ ДИНАР,1,1490.18,+71.80
2021-05-07,KGS,КЫРГЫЗСКИЙ СОМ,1,5.22,+0.18
2021-05-07,MYR,МАЛАЗИЙСКИЙ РИНГГИТ,1,112.31,+8.67
2021-05-07,MXN,МЕКСИКАНСКИЙ ПЕСО,1,27.03,+5.90
2021-05-07,MDL,МОЛДАВСКИЙ ЛЕЙ,1,26.7,+2.60
2021-05-07,MNT,МОНГОЛЬСКИЙ ТУГРИК,100,12.71,
2021-05-07,NOK,НОРВЕЖСКАЯ КРОНА,1,49.62,-1.61
2021-05-07,OMR,ОМАНСКИЙ РИАЛ,1,1189.82,
2021-05-07,PKR,ПАКИСТАНСКАЯ РУПИЯ,1,1.65,
2021-05-07,PLN,ПОЛЬСКИЙ ЗЛОТЫЙ,1,123.11,+11.01
2021-05-07,SAR,РИЯЛ САУДОВСКОЙ АРАВИИ,1,121.68,+7.82
2021-05-07,RUB,РОССИЙСКИЙ РУБЛЬ,1,5.32,-0.40
2021-05-07,RON,РУМЫНСКИЙ ЛЕЙ,1,101.16,
2021-05-07,XDR,СДР,1,627.16,+15.46
2021-05-07,SGD,СИНГАПУРСКИЙ ДОЛЛАР,1,361.29,+41.35
2021-05-07,TJS,ТАДЖИКСКИЙ СОМОНИ,1,49.66,+11.91
2021-05-07,THB,ТАЙСКИЙ БАТ,1,13.9,+0.23
2021-05-07,TRY,ТУРЕЦКАЯ ЛИРА,1,9.43,-41.93
2021-05-07,UZS,УЗБЕКСКИХ СУМОВ,100,3.87,-0.20
2021-05-07,UAH,УКРАИНСКАЯ ГРИВНА,1,10.23,-5.16
2021-05-07,GBP,ФУНТ СТЕРЛИНГОВ СОЕДИНЕННОГО КОРОЛЕВСТВА,1,618.4,+24.20
2021-05-07,CZK,ЧЕШСКАЯ КРОНА,1,21.91,+2.00
2021-05-07,SEK,ШВЕДСКАЯ КРОНА,1,47.63,-2.87
2021-05-07,CHF,ШВЕЙЦАРСКИЙ ФРАНК,1,564.55,+95.07
2021-05-07,ZAR,ЮЖНО-АФРИКАНСКИЙ РАНД,1,28.47,-1.47
2021-05-07,KRW,ЮЖНО-КОРЕЙСКИХ ВОН,100,34.15,-3.87
2021-05-07,JPY,ЯПОНСКАЯ ЙЕНА,1,2.98,-0.93
2021-05-08,AUD,АВСТРАЛИЙСКИЙ ДОЛЛАР,1,330.96,0.00
2021-05-08,AZN,АЗЕРБАЙДЖАНСКИЙ МАНАТ,1,252.21,0.00
2021-05-08,AMD,АРМЯНСКИЙ ДРАМ,10,8.21,0.00
2021-05-08,BYN,БЕЛОРУССКИЙ РУБЛЬ,1,167.99,0.00
2021-05-08,BRL,БРАЗИЛЬСКИЙ РЕАЛ,1,79.76,0.00
2021-05-08,HUF,ВЕНГЕРСКИХ ФОРИНТОВ,10,14.35,0.00
2021-05-08,HKD,ГОНКОНГСКИЙ ДОЛЛАР,1,54.96,0.00
2021-05-08,GEL,ГРУЗИНСКИЙ ЛАРИ,1,124.49,0.00
2021-05-08,DKK,ДАТСКАЯ КРОНА,1,69.18,0.00
2021-05-08,AED,ДИРХАМ ОАЭ,1,116.26,0.00
2021-05-08,USD,ДОЛЛАР США,1,426.99,0.00
2021-05-08,EUR,ЕВРО,1,514.35,0.00
2021-05-08,INR,ИНДИЙСКАЯ РУПИЯ,1,5.79,0.00
2021-05-08,IRR,ИРАНСКИЙ РИАЛ,1000,10.2,0.00
