,2021,2022,2023,2024,2025,2026
AMD,0.10518968172451298,0.05360189482310157,-0.04416556311455199,0.20971852473154767,-0.004862240042309488,0.05724738279429088
AUD,0.3244845672836137,0.14849413421351154,0.1287318231705543,0.09100188515909687,0.19662171380561758,-0.00643881053005152
AZN,-0.15349534592657724,-0.00034432865421322756,-0.017548559955297038,0.035859957585060984,0.05135718526623912,-0.02080022333709019
BRL,0.16431638971111265,0.09601913547073068,0.05362163173916302,0.03726043701994359,0.11477837571319238,0.03533846998588372
BYN,0.2721286826066267,-0.04319274800091582,0.10201130394295473,-0.03550963151665833,0.09374911241442582,-0.11532920808161609
CAD,0.39638522047786934,0.17838852996956076,0.15244841088677008,0.037518175789742245,0.1686329068211563,0.027360652320695605
CHF,0.1433699498326403,0.06127855609449953,0.05428045699745604,0.0804343500246314,0.0733656509010542,-0.026304052344421996
CNY,0.09138239773586912,0.10416212056757342,0.023598773947794218,0.1507604590194264,0.13833277575897635,-0.04905810384753738
EUR,0.17874619653512097,0.19921445006977845,0.11507451687392438,0.11544632303312923,0.13399805518308053,-0.04690122542681038
GBP,0.3016273487949371,0.12281341537471051,0.12031002119117067,0.04562999707855803,0.19675861988401008,-0.06844736500931248
GEL,-0.056325603453751275,0.24411570366191915,0.08093174292603887,0.11354309374601466,-0.12082435678511735,-0.05618822758622154
INR,0.1063957509442487,0.23910465209809206,0.13790070527476764,0.08015935234089043,0.06957827904908381,-0.005067174720427347
JPY,-0.09403757026902067,0.07648388922432837,0.0032318671601859325,0.02497154019335265,0.09615354660679434,-0.03317388294865469
KGS,0.02689312486372427,0.08050158238320984,0.017996497602716384,-0.0410680576918171,-0.07629257735758542,-0.07635705351925587
MXN,0.08634977905491392,0.1778430850187223,0.17282560107127137,0.030401780493070584,0.11737048728019345,-0.045602109296338574
NOK,0.40494804265210155,0.21005655345498875,0.09936772763824006,0.03211206065356734,0.2277500871553136,0.012394170095374704
RUB,0.1796668816710413,0.4402273463236453,0.12046479822971484,0.18979762216502366,0.3138436258665905,-0.02394750394061958
TRY,0.12121341547752759,0.21657207193628167,-0.037840600775448034,-0.010127424777289631,0.07335306379964193,-0.06508441154441962
UZS,-0.06712621151547503,-0.014877542042034723,-0.013143966137738146,0.08496845755352117,0.15249485814078428,-0.015430540178257906
ZAR,0.06552566430009325,0.18037478742890622,0.0790688445150268,0.04095599274598283,0.09939896591663519,-0.04039664914558178
