day,средн_%,медиана_%,наблюдений,доля_ослабления_%
1,-0.0141,0.0164,37,51.3514
2,0.0651,0.1029,40,57.5
3,-0.1691,-0.153,44,38.6364
4,-0.0454,-0.0152,44,47.7273
5,-0.1011,0.0405,45,55.5556
6,-0.1009,-0.1386,40,37.5
7,0.0547,-0.0988,36,44.4444
8,-0.036,-0.084,39,41.0256
9,0.1034,0.0334,40,52.5
10,-0.1157,-0.1215,43,37.2093
11,-0.0109,0.0246,42,52.381
12,0.0785,0.0583,44,52.2727
13,0.1439,0.0956,47,55.3191
14,0.0557,0.013,45,51.1111
15,0.1458,0.1247,44,75.0
16,-0.0547,-0.0026,40,50.0
17,-0.0096,0.0442,45,57.7778
18,-0.0331,-0.0963,43,37.2093
19,0.0532,0.0987,44,54.5455
20,0.0017,0.0336,46,54.3478
21,-0.0072,-0.0679,41,43.9024
22,-0.0617,-0.1071,42,35.7143
23,0.0837,-0.0424,41,43.9024
24,0.0357,-0.1012,42,45.2381
25,-0.0403,-0.0711,38,44.7368
26,0.132,0.0581,42,61.9048
27,-0.0483,0.0094,45,53.3333
28,0.1119,-0.0997,43,44.186
29,-0.0656,-0.0131,42,50.0
30,-0.0711,0.0039,37,51.3514
31,-0.0386,-0.0044,26,50.0
